company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Seaside Casual Furniture,seasidecasual.com/,TIER_B_ACTIVE,67.8,EDP8_Technology_Obsolescence,20250902_020542
Kalco Lighting,kalco.com,TIER_B_ACTIVE,48.2,EDP8_Technology_Obsolescence,20250902_020542
CAROLINA CHAIR AND TABLE COMPANY INC,carolinachairandtable.com,TIER_A_IMMEDIATE,75.7,EDP7_Sales_Enablement,20250902_020542
TELOS FURNITURE,telosfurniture.com,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250902_020542
American Homestead Furniture,americanhomesteadfurniture.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250902_020542
Bella Esprit by US Tamex,bellaesprit.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250902_020542
Fiberbuilt Umbrellas & Cushion,fiberbuiltumbrellas.com/,TIER_B_ACTIVE,40.35,EDP8_Technology_Obsolescence,20250902_020542
Sarreid Ltd,sarreid.com/,TIER_B_ACTIVE,49.4,EDP8_Technology_Obsolescence,20250902_020542
Armen Living Furniture,armenliving.com/,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_020542
Sticks,sticks.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_020542
"Maria Yee, Inc.",mariayee.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_020542
Castelle Furniture Co.,castellefurniture.com/,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250902_020542
Teak Warehouse,teakwarehouse.com,TIER_B_ACTIVE,42.65,EDP8_Technology_Obsolescence,20250902_020542
Gabriella White LLC,gabbyhome.com,TIER_B_ACTIVE,51.25,EDP8_Technology_Obsolescence,20250902_020542
NATURES Collection USA,naturescollection.us,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250902_020542
DutchCrafters Amish Furniture,dutchcrafters.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250902_020542
Ideaitalia Contemporary Furniture,ideaitaliausa.com,TIER_B_ACTIVE,41.15,EDP8_Technology_Obsolescence,20250902_020542
Jamie Young Company,jamieyoung.com/,TIER_B_ACTIVE,52.0,EDP8_Technology_Obsolescence,20250902_020542
"Guangzhou Pure Faith Technology Co., Ltd.",purefaith.cn,TIER_B_ACTIVE,64.45,EDP7_Sales_Enablement,20250902_020542
Berlin Gardens,berlingardensllc.com/,TIER_B_ACTIVE,52.45,EDP8_Technology_Obsolescence,20250902_020542
Agio USA,agio-usa.com,TIER_B_ACTIVE,60.8,EDP7_Sales_Enablement,20250902_020542
Berlin Gardens,berlingardensllc.com,TIER_B_ACTIVE,52.45,EDP8_Technology_Obsolescence,20250902_020542
Montage Furniture Services / Protection 1st,montagefs.com,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250902_020542
