company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
"Kel-Toy, Inc.",keltoy.com,TIER_B_ACTIVE,57.95,EDP7_Sales_Enablement,20250902_080841
Trendily Home Collection,trendilyhomecollection.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250902_080841
"Kel-Toy, Inc.",keltoy.com,TIER_B_ACTIVE,57.95,EDP7_Sales_Enablement,20250902_080841
"Kel-Toy, Inc.",keltoy.com,TIER_B_ACTIVE,57.95,EDP7_Sales_Enablement,20250902_080841
Michael Wainwright,michaelwainwright.com/,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_080841
Briarwood Lane,briarwoodlane.net/,TIER_B_ACTIVE,61.8,EDP7_Sales_Enablement,20250902_080841
Briarwood Lane,briarwoodlane.net/,TIER_B_ACTIVE,61.8,EDP7_Sales_Enablement,20250902_080841
Michael Wainwright,michaelwainwright.com/,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250902_080841
Briarwood Lane,briarwoodlane.net/,TIER_B_ACTIVE,61.8,EDP7_Sales_Enablement,20250902_080841
Memoire Design™ by Mainlty Baskets Home,memoiredesign.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250902_080841
Memoire Design™ by Mainlty Baskets Home,memoiredesign.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250902_080841
Small Batch Glass,smallbatchglassblowing.com,TIER_B_ACTIVE,43.85,EDP8_Technology_Obsolescence,20250902_080841
Les Jardins,lesjardins.us,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250902_080841
Les Jardins,lesjardins.us,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250902_080841
Memoire Design by Mainly Baskets Home,memoiredesign.com/,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250902_080841
Memoire Design by Mainly Baskets Home,memoiredesign.com/,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250902_080841
Memoire Design by Mainly Baskets Home,memoiredesign.com/,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250902_080841
Briarwood Lane,briarwoodlane.net/,TIER_B_ACTIVE,61.8,EDP7_Sales_Enablement,20250902_080841
Mallory Planters & Gardens,mpgwholesale.com/,TIER_B_ACTIVE,40.35,EDP8_Technology_Obsolescence,20250902_080841
Erica Marie Interiors,ericamarieinteriors.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250902_080841
Evan Reid,evanreid.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250902_080841
Threads Soft Goods,threads-softgoods.com,TIER_B_ACTIVE,43.85,EDP8_Technology_Obsolescence,20250902_080841
Threads Soft Goods,threads-softgoods.com,TIER_B_ACTIVE,43.85,EDP8_Technology_Obsolescence,20250902_080841
ETHERIUM LIGHTING LLC,etheriumled.com/,TIER_B_ACTIVE,49.25,EDP8_Technology_Obsolescence,20250902_080841
Lee Roski Ltd.,leeroski.com/,TIER_A_IMMEDIATE,75.7,EDP7_Sales_Enablement,20250902_080841
Steinkult GmbH,stein-kult.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250902_080841
Beyond Cushions,beyondcushions.com/,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250902_080841
Fibre By Auskin,myfibreshop.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250902_080841
Cody Foster and Co.,codyfoster.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250902_080841
High Point Exhibitions,highpointexhibitions.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250902_080841
"MooMoo Designs, Inc.",moomoo-designs.com,TIER_B_ACTIVE,43.85,EDP8_Technology_Obsolescence,20250902_080841
Barrett Bergmann Home,barrettbergmannhome.com,TIER_B_ACTIVE,50.9,EDP8_Technology_Obsolescence,20250902_080841
Barrett Bergmann Home,barrettbergmannhome.com,TIER_B_ACTIVE,50.9,EDP8_Technology_Obsolescence,20250902_080841
Cody Foster and Co.,codyfoster.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250902_080841
Villa & House,villahouse.vn,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250902_080841
Villa & House,villahouse.vn,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250902_080841
X Rocker,xrockergaming.com,TIER_B_ACTIVE,55.7,EDP8_Technology_Obsolescence,20250902_080841
X Rocker,xrockergaming.com,TIER_B_ACTIVE,55.7,EDP8_Technology_Obsolescence,20250902_080841
"MooMoo Designs, Inc.",moomoo-designs.com,TIER_B_ACTIVE,43.85,EDP8_Technology_Obsolescence,20250902_080841
Ultraleather,ultraleather.com/,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250902_080841
