company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Danao,danaoliving.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250918_230428
Transformations,transformationsfurniture.com,TIER_B_ACTIVE,62.65,EDP7_Sales_Enablement,20250918_230428
Fluidconcepts,fluidconcepts.ca,TIER_B_ACTIVE,41.0,EDP8_Technology_Obsolescence,20250918_230428
Walters | Wicker Works,walterswicker.com,TIER_B_ACTIVE,45.75,EDP8_Technology_Obsolescence,20250918_230428
ALEXANDRA COLLECTION,coleccionalexandra.com,TIER_B_ACTIVE,55.7,EDP8_Technology_Obsolescence,20250918_230428
EQ3,eq3.com,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250918_230428
Corsicana Mattress,corsicanamattress.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250918_230428
Potocco,potocco.it,TIER_B_ACTIVE,61.55,EDP7_Sales_Enablement,20250918_230428
NaughtOne,naughtone.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250918_230428
Jamie Stern,jamiesterndesign.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250918_230428
Philips,phillipscollection.com,TIER_B_ACTIVE,62.8,EDP7_Sales_Enablement,20250918_230428
Corsicana Mattress,corsicanamattress.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250918_230428
HAT Collective,hatcollective.com,TIER_B_ACTIVE,56.3,EDP7_Sales_Enablement,20250918_230428
Saba Italia,sabaitalia.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250918_230428
Trica,tricafurniture.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250918_230428
Interior Concepts,interiorconcepts.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250918_230428
CSelect,cselect.net,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250918_230428
Haskell Education,haskelleducation.com,TIER_B_ACTIVE,50.45,EDP8_Technology_Obsolescence,20250918_230428
Thayer Coggin,thayercoggin.com,TIER_B_ACTIVE,45.85,EDP8_Technology_Obsolescence,20250918_230428
Hay,hay.com,TIER_B_ACTIVE,49.25,EDP8_Technology_Obsolescence,20250918_230428
INTERIOR CONCEPTS,interiorconcepts.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250918_230428
Karl Andersson & SÃÂ¶ner,karl-andersson.se,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250918_230428
Kwalu,kwalu.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250918_230428
Fluidconcepts,fluidconcepts.ca,TIER_B_ACTIVE,41.0,EDP8_Technology_Obsolescence,20250918_230428
ComforTek Seating,comfortek.com,TIER_B_ACTIVE,55.95,EDP7_Sales_Enablement,20250918_230428
Taracea,taracea.com,TIER_B_ACTIVE,51.25,EDP8_Technology_Obsolescence,20250918_230428
Home Trends & Design (HTD),htddirect.com,TIER_B_ACTIVE,47.05,EDP7_Sales_Enablement,20250918_230428
IOF,ioflive.com,TIER_B_ACTIVE,69.8,EDP8_Technology_Obsolescence,20250918_230428
Bene,bene.com,TIER_A_IMMEDIATE,73.3,EDP8_Technology_Obsolescence,20250918_230428
Bene,bene.com,TIER_A_IMMEDIATE,73.3,EDP8_Technology_Obsolescence,20250918_230428
Teknion Studio,studiotk.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250918_230428
EILERSEN,eilersen.eu,TIER_B_ACTIVE,48.2,EDP8_Technology_Obsolescence,20250918_230428
Molteni & C,molteni.it,TIER_B_ACTIVE,62.0,EDP7_Sales_Enablement,20250918_230428
Vincent Sheppard,vincentsheppard.com,TIER_B_ACTIVE,51.25,EDP8_Technology_Obsolescence,20250918_230428
Parla Design,parladesign.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250918_230428
IOF,ioflive.com,TIER_B_ACTIVE,69.8,EDP8_Technology_Obsolescence,20250918_230428
IOF,ioflive.com,TIER_B_ACTIVE,69.8,EDP8_Technology_Obsolescence,20250918_230428
Darafeev,darafeev.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250918_230428
Masiero,masierogroup.com,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250918_230428
Wesport,grosfillexfurniture.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250918_230428
A. Rudin,arudin.com,TIER_B_ACTIVE,53.0,EDP8_Technology_Obsolescence,20250918_230428
LaLune Collection,lalunecollection.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250918_230428
Devon & Devon,devon-devon.com,TIER_B_ACTIVE,53.2,EDP8_Technology_Obsolescence,20250918_230428
American Bedding,americanbeddingmfg.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250918_230428
Taracea,taracea.com,TIER_B_ACTIVE,51.25,EDP8_Technology_Obsolescence,20250918_230428
Stressless,stressless.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250918_230428
