company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Colorbeam,colorbeamlighting.com,TIER_B_ACTIVE,64.65,EDP7_Sales_Enablement,20250918_210149
Justice Design Group,jdg.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250918_210149
WE-EF,we-ef.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250918_210149
Venture Lighting,venturelighting.com,TIER_A_IMMEDIATE,74.5,EDP8_Technology_Obsolescence,20250918_210149
Energetic Lighting,energeticlighting.com,TIER_B_ACTIVE,57.4,EDP7_Sales_Enablement,20250918_210149
Jesco Lighting Group,jescolighting.com,TIER_B_ACTIVE,52.2,EDP8_Technology_Obsolescence,20250918_210149
Holectron,holectron.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250918_210149
BIG BEAM,bigbeam.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250918_210149
SPI Lighting,spilighting.com,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250918_210149
Red Sky Lighting,redskylighting.com,TIER_B_ACTIVE,64.0,EDP7_Sales_Enablement,20250918_210149
i2systems,i2systems.com,TIER_B_ACTIVE,68.25,EDP7_Sales_Enablement,20250918_210149
ewo,ewo.com,TIER_B_ACTIVE,62.65,EDP7_Sales_Enablement,20250918_210149
Energetic Lighting,energeticlighting.com,TIER_B_ACTIVE,57.4,EDP7_Sales_Enablement,20250918_210149
Diode LED,diodeled.com,TIER_B_ACTIVE,48.85,EDP8_Technology_Obsolescence,20250918_210149
ETi Solid State Lighting Inc,etissl.com,TIER_B_ACTIVE,44.75,EDP8_Technology_Obsolescence,20250918_210149
Portor Lighting,portorlighting.com,TIER_B_ACTIVE,45.75,EDP8_Technology_Obsolescence,20250918_210149
Bega,bega.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250918_210149
EmeryAllen,emeryallen.com,TIER_B_ACTIVE,44.75,EDP8_Technology_Obsolescence,20250918_210149
Ericson,ericson.com,TIER_B_ACTIVE,63.55,EDP7_Sales_Enablement,20250918_210149
Fulham,fulham.com,TIER_B_ACTIVE,46.95,EDP8_Technology_Obsolescence,20250918_210149
Red Sky Lighting,redskylighting.com,TIER_B_ACTIVE,64.0,EDP7_Sales_Enablement,20250918_210149
WE-EF,we-ef.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250918_210149
ewo,ewo.com,TIER_B_ACTIVE,62.65,EDP7_Sales_Enablement,20250918_210149
Solais Lighting,solais.com,TIER_B_ACTIVE,49.0,EDP8_Technology_Obsolescence,20250918_210149
ETi Solid State Lighting Inc,etissl.com,TIER_B_ACTIVE,44.75,EDP8_Technology_Obsolescence,20250918_210149
Nova Flex LED,novaflexled.com,TIER_B_ACTIVE,49.25,EDP8_Technology_Obsolescence,20250918_210149
Energy Focus,energyfocus.com,TIER_B_ACTIVE,66.25,EDP7_Sales_Enablement,20250918_210149
Shatrshield,shatrshield.com,TIER_B_ACTIVE,51.25,EDP8_Technology_Obsolescence,20250918_210149
WE-EF,we-ef.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250918_210149
Bega,bega.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250918_210149
Finelite,finelite.com,TIER_A_IMMEDIATE,73.0,EDP8_Technology_Obsolescence,20250918_210149
FILAMENTO LED LIGHTING,filamento.com,TIER_B_ACTIVE,40.6,EDP8_Technology_Obsolescence,20250918_210149
