company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
E:Cue,traxon-ecue.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_020838
Trinity Lighting,trinitylighting.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
E:Cue,traxon-ecue.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_020838
LightArt,lightart.com,TIER_B_ACTIVE,64.75,EDP7_Sales_Enablement,20250909_020838
Fluxwerx Illumination,fluxwerx.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Fluxwerx Illumination,fluxwerx.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Fluxwerx Illumination,fluxwerx.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Focal Point,focalpointlights.com,TIER_B_ACTIVE,50.45,EDP8_Technology_Obsolescence,20250909_020838
Fluxwerx Illumination,fluxwerx.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Technilum,technilum.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Eclipse Lighting,eclipselightinginc.com,TIER_B_ACTIVE,60.95,EDP8_Technology_Obsolescence,20250909_020838
Fluxwerx Illumination,fluxwerx.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Cole Lighting,colelighting.com,TIER_B_ACTIVE,59.95,EDP7_Sales_Enablement,20250909_020838
Artemide,artemide.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_020838
Fluxwerx Illumination,fluxwerx.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Lumca,lumca.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
ocl,ocl.com,TIER_B_ACTIVE,44.2,EDP8_Technology_Obsolescence,20250909_020838
Artika Pro,artikapro.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250909_020838
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250909_020838
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250909_020838
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250909_020838
Technilum,technilum.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
TMS Lighting,tmslighting.com,TIER_B_ACTIVE,49.25,EDP8_Technology_Obsolescence,20250909_020838
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250909_020838
Balanced Care by Axis,axislighting.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_020838
Kurtzon Lighting,kurtzon.com,TIER_B_ACTIVE,45.75,EDP8_Technology_Obsolescence,20250909_020838
Pa-Co Lighting,pacolighting.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
E:Cue,traxon-ecue.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_020838
Pinnacle Architectural Lighting,pinnacle-ltg.com,TIER_B_ACTIVE,69.25,EDP7_Sales_Enablement,20250909_020838
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250909_020838
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250909_020838
TMS Lighting,tmslighting.com,TIER_B_ACTIVE,49.25,EDP8_Technology_Obsolescence,20250909_020838
Balanced Care by Axis,axislighting.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_020838
Balanced Care by Axis,axislighting.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_020838
MP Lighting,mplighting.com,TIER_B_ACTIVE,44.75,EDP8_Technology_Obsolescence,20250909_020838
Glint by Luminii,luminii.com,TIER_B_ACTIVE,64.55,EDP7_Sales_Enablement,20250909_020838
Cooper Lighting Solutions,cooperlighting.com,TIER_B_ACTIVE,61.0,EDP7_Sales_Enablement,20250909_020838
FC Lighting,fclighting.com,TIER_B_ACTIVE,66.55,EDP8_Technology_Obsolescence,20250909_020838
Visa Lighting,visalighting.com,TIER_B_ACTIVE,44.2,EDP8_Technology_Obsolescence,20250909_020838
Fluxwerx Illumination,fluxwerx.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_020838
Kurtzon Lighting,kurtzon.com,TIER_B_ACTIVE,45.75,EDP8_Technology_Obsolescence,20250909_020838
LIND EQUIPMENT LTD,lindequipment.net,TIER_B_ACTIVE,58.2,EDP7_Sales_Enablement,20250909_020838
Cooper Lighting Solutions,cooperlighting.com,TIER_B_ACTIVE,61.0,EDP7_Sales_Enablement,20250909_020838
