company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Burton James,burtonjames.com,TIER_B_ACTIVE,40.7,EDP8_Technology_Obsolescence,20250909_135646
Green Furniture Concept,greenfc.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_135646
Arper,arper.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250909_135646
Archbold Furniture Company,archboldfurniture.com,TIER_B_ACTIVE,41.95,EDP8_Technology_Obsolescence,20250909_135646
Arper,arper.com,TIER_B_ACTIVE,65.05,EDP7_Sales_Enablement,20250909_135646
Paragon Inc.,paragoninc.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_135646
Skyline Design,skylinefurnituremfg.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_135646
BOSS DESIGN,bossdesign.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_135646
Kartell,kartell.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_135646
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_135646
Potocco,potocco.it,TIER_B_ACTIVE,61.55,EDP7_Sales_Enablement,20250909_135646
Bright Chair,brightchair.com,TIER_B_ACTIVE,52.9,EDP8_Technology_Obsolescence,20250909_135646
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_135646
MODULAR ONE,gardner-white.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_135646
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_135646
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_135646
Potocco,potocco.it,TIER_B_ACTIVE,61.55,EDP7_Sales_Enablement,20250909_135646
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_135646
Fomcore,fomcore.com,TIER_B_ACTIVE,49.25,EDP8_Technology_Obsolescence,20250909_135646
KFI Studios,kfistudios.com,TIER_B_ACTIVE,48.7,EDP7_Sales_Enablement,20250909_135646
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_135646
Paragon Inc.,paragoninc.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_135646
Vitro Seating Products,vitroseating.com,TIER_B_ACTIVE,62.75,EDP7_Sales_Enablement,20250909_135646
Palmer Hamilton,palmerhamilton.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_135646
Palmer Hamilton,palmerhamilton.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_135646
Cramer,cramerinc.com,TIER_B_ACTIVE,45.65,EDP8_Technology_Obsolescence,20250909_135646
Kartell,kartell.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_135646
Walters | Wicker Works,walterswicker.com,TIER_B_ACTIVE,45.75,EDP8_Technology_Obsolescence,20250909_135646
Calligaris Toronto/S.p.A.,calligaris.com,TIER_B_ACTIVE,43.95,EDP8_Technology_Obsolescence,20250909_135646
NUANS,nuansdesign.com,TIER_B_ACTIVE,43.95,EDP8_Technology_Obsolescence,20250909_135646
Archbold Furniture Company,archboldfurniture.com,TIER_B_ACTIVE,41.95,EDP8_Technology_Obsolescence,20250909_135646
Colecraft,colecraftcf.com,TIER_B_ACTIVE,47.75,EDP8_Technology_Obsolescence,20250909_135646
MODULAR ONE,gardner-white.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_135646
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_135646
Hi5,hi5furniture.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250909_135646
Fermob,fermob.com,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_135646
Transformations,transformationsfurniture.com,TIER_B_ACTIVE,62.65,EDP7_Sales_Enablement,20250909_135646
Green Furniture Concept,greenfc.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_135646
Vari-Lite,vari.com,TIER_B_ACTIVE,48.45,EDP8_Technology_Obsolescence,20250909_135646
Saloom Furniture,saloom.com,TIER_B_ACTIVE,68.25,EDP7_Sales_Enablement,20250909_135646
Cramer,cramerinc.com,TIER_B_ACTIVE,45.65,EDP8_Technology_Obsolescence,20250909_135646
Colecraft,colecraftcf.com,TIER_B_ACTIVE,47.75,EDP8_Technology_Obsolescence,20250909_135646
Avid,foliot.com,TIER_B_ACTIVE,68.25,EDP7_Sales_Enablement,20250909_135646
Palmer Hamilton,palmerhamilton.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250909_135646
Kwalu,kwalu.com,TIER_B_ACTIVE,56.5,EDP8_Technology_Obsolescence,20250909_135646
